processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
FOA209-04,BW-A209,29475, ,1,Biodiversity Institute of Ontario,BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , , , , , , , , , ,FAO-71, , , , , ,Australia,Queensland,North of Queensland, 
FOA210-04,BW-A210,29476, ,2,Biodiversity Institute of Ontario,BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , , , , , , , , , ,FAO-71, , , , , ,Australia,Queensland,North of Queensland, 
FOA211-04,BW-A211,29477, ,3,Biodiversity Institute of Ontario,BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , , , , , , , , , ,FAO-71, , , , , ,Australia,Queensland,North of Queensland, 
FOA212-04,BW-A212,29478, , ,Biodiversity Institute of Ontario,BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , , , , , , , , , ,FAO-71, , , , , ,Australia,Queensland,North of Queensland, 
FOA213-04,BW-A213,29479,CSIRO H  5771 -01,13,Biodiversity Institute of Ontario,BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , ,Peter Last, , ,Peter Kyne (Uni Qld),10/2/00, , , ,FAO-71, ,-23.25,151.25, , ,Australia,Queensland,East of Rockhampton, 
FOAD398-05,BW-1958,193828,CSIRO H 1458-06,GT63,Biodiversity Institute of Ontario,BOLD:AAC8580,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202051,Neotrygon leylandi, , ,Peter Last, , ,CSIRO,9/18/88, , , ,FAO-57,(large reticulate),-20.167,117.917, , ,Australia,Western Australia,North-West Shelf of Western Australia, 
FOAD399-05,BW-1959,193829,CSIRO H 1458-07,GT64,Biodiversity Institute of Ontario,BOLD:AAC8580,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202051,Neotrygon leylandi, , ,Peter Last, , ,CSIRO,9/18/88, , , ,FAO-57,(large reticulate),-20.167,117.917, , ,Australia,Western Australia,North-West Shelf of Western Australia, 
FOAD400-05,BW-1960,193830,CSIRO H 1458-08,GT65,Biodiversity Institute of Ontario,BOLD:AAC8580,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202051,Neotrygon leylandi, , ,Peter Last, , ,CSIRO,9/18/88, , , ,FAO-57,(mitotic),-20.167,117.917, , ,Australia,Western Australia,North-West Shelf of Western Australia, 
FOAE359-06,BW-A2571,295158, ,G1006,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,3/5/05, , , ,FAO-57,(var Bali),-8.75,115.167, , ,Indonesia,Bali,"Kedonganan, Jimbaran Bay",Kedonganan market
FOAE360-06,BW-A2572,295159, ,G749,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,William White, , ,Indo Oz project & William White,4/17/04, , , ,FAO-57,(var Bali),-8.75,115.167, , ,Indonesia,Bali,"Kedonganan, Jimbaran Bay",Kedonganan market
